ADDACC,Add Access Code,アクセスコードを追加する
DSPAUDJRNE,Display Audit Journal Entries,監査ジャーナル項目を表示する
DSPAUT,Display Authority,権限を表示する
DSPAUTHLR,Display Authority Holder,権限ホルダーを表示する
DSPAUTL,Display Authorization List,権限リストを表示する
DSPAUTLDLO,Display Auth List Document Library Objects,権限リスト文書ライブラリー・オブジェクトを表示する
DSPAUTLOBJ,Display Authorization List Object,権限リスト・オブジェクトを表示する
DSPAUTUSR,Display Authorized Users,権限付与済みユーザーを表示する
DSPBCKSTS,Display Backup Status,バックアップ状況を表示する
DSPBCKUP,Display Backup Options,バックアップ・オプションを表示する
DSPBCKUPL,Display Backup List,バックアップ・リストを表示する
DSPBKP,Display Breakpoints,ブレークポイントを表示する
DSPBKUBRM,Display Backup Plan using BRMS,BRMSを使用してバックアップ計画を表示する
DSPBNDDIR,Display Binding Directory,バインド・ディレクトリーを表示する
DSPCDEFNT,Display Coded Font,コード化フォントを表示する
DSPCFGL,Display Configuration List,構成リストを表示する
DSPCKMKSFE,Display Crytographic Key Management Keystore File Entry,暗号鍵管理キーストア・ファイル項目を表示する
DSPCLS,Display Class,クラスを表示する
DSPCLUINF,Display Cluster Information,クラスター情報を表示する
DSPCMD,Display Command,コマンドを表示する
DSPCNNL,Display Connection List,接続リストを表示する
DSPCNNSTS,Display Connection Status,接続状況を表示する
DSPCOSD,Display Class-of-Service Description,サービス・クラス記述を表示する
DSPCPCST,Display Check Pending Constraint,検査保留制約を表示する
DSPCRGACT,Display CRG Activity,CRG活動を表示する
DSPCRGCNR,Display CRG Container,CRGコンテナーを表示する
DSPCRGINF,Display Cluster Resource Group Information,CRG情報を表示する
DSPCSI,Display Communications Side Information,通信サイド情報を表示する
DSPCSMSSN,Display CSM ASP Session,CSM ASPセッションを表示する
DSPCTLD,Display Controller Description,コントローラー記述を表示する
DSPCURDIR,Display Current Directory,現行ディレクトリーを表示する
DSPDBG,Display Debug,デバッグを表示する
DSPDBGWCH,Display Debug Watch,デバッグ監視を表示する
DSPDBR,Display Data Base Relations,データベース関連を表示する
DSPDDMF,Display Distributed Data Management File,DDMファイルを表示する
DSPDEVD,Display Device Description,装置記述を表示する
DSPDIRE,Display Directory Entries,ディレクトリー項目を表示する
DSPDLFA,Display DataLink File Attributes,DataLinkファイル属性を表示する
DSPDLOAUD,Display Document Library Object Auditing Level,文書ライブラリー・オブジェクト監査レベルを表示する
DSPDLOAUT,Display Document Library Object Authority,文書ライブラリー・オブジェクト権限を表示する
DSPDLONAM,Display Document Library Object Name,文書ライブラリー・オブジェクト名を表示する
DSPDOC,Display Document,文書を表示する
DSPDSTL,Display Distribution List,配布リストを表示する
DSPDSTLOG,Display Distribution Log,配布ログを表示する
DSPDSTSRV,Display Distribution Services,配布サービスを表示する
DSPDTA,Display Data,データを表示する
DSPDTAARA,Display Data Area,データ域を表示する
DSPDTADCT,Display Data Dictionary,データ・ディクショナリーを表示する
DSPDUPBRM,Display Duplicate Media,重複媒体を表示する
DSPEDTD,Display Edit Description,編集記述を表示する
DSPEWCBCDE,Display Wireless Controller Barcode Entry,無線コントローラー・バーコード項目を表示する
DSPEWCM,Display Wireless Controller Member,無線コントローラー・メンバーを表示する
DSPEWCPTCE,Display Wireless Controller PTC Entry,無線コントローラーPTC項目を表示する
DSPEWLM,Display Wireless Line Member,無線回線メンバーを表示する
DSPEXPSCD,Display Expiration Schedule,有効期限切れスケジュールを表示する
DSPF,Display File,ファイルを表示する
DSPFCNBRM,Display Function using BRM,BRMを使用して機能を表示する
DSPFCNUSG,Display Function Usage,機能使用法を表示する
DSPFD,Display File Description,ファイル記述を表示する
DSPFFD,Display File Field Description,ファイル・フィールド記述を表示する
DSPFLR,Display Folder,フォルダーを表示する
DSPFMWSTS,Display Firmware Status,ファームウェア状況を表示する
DSPFNTRSCA,Display Font Resource Attributes,フォント・リソース属性を表示する
DSPFNTTBL,Display Font Table,フォント・テーブルを表示する
DSPHACFGD,Display HA Configuration Description,HA構成記述を表示する
DSPHAPCY,Display High Availability Policy,高可用性ポリシーを表示する
DSPHDWRSC,Display Hardware Resources,ハードウェア資源を表示する
DSPHFS,Display Hierarchical File Sys.,階層ファイル・システムを表示する
DSPHLPDOC,Display Help Document,ヘルプ文書を表示する
DSPHOSTSVR,Display Host Server,ホスト・サーバーを表示する
DSPHSTGPH,Display Historical Graph,ヒストリカル・グラフを表示する
DSPHSTJS,Display History using Advanced Job Scheduler,AJSを使用してヒストリーを表示する
DSPHYSSTS,Display HyperSwap Status,HyperSwap状況を表示する
DSPIGCDCT,Display DBCS Conversion Dictionary,DBCS変換ディクショナリーを表示する
DSPIPLA,Display IPL Attributes,IPL属性を表示する
DSPIPXD,Display IPX Description,IPX記述を表示する
DSPJOB,Display Job,ジョブを表示する
DSPJOBD,Display Job Description,ジョブ記述を表示する
DSPJOBJS,Display Job using Advanced Job Scheduler,AJSを使用してジョブを表示する
DSPJOBLOG,Display Job Log,ジョブ・ログを表示する
DSPJOBTBL,Display Job Tables,ジョブ・テーブルを表示する
DSPJRN,Display Journal,ジャーナルを表示する
DSPJRNRCVA,Display Journal Receiver Attributes,ジャーナル・レシーバー属性を表示する
DSPJVMJOB,Display Java Virtual Machine Jobs,JVMジョブを表示する
DSPKBDMAP,Display Keyboard Map,キーボード・マップを表示する
DSPKRBCCF,Display Kerberos Credentials Cache File,Kerberos資格情報キャッシュ・ファイルを表示する
DSPKRBKTE,Display Kerberos Keytab Entries,Kerberosキータブ項目を表示する
DSPLANADPP,Display LAN Adapter Profile,LANアダプター・プロファイルを表示する
DSPLANMLB,Display LAN Media Library,LAN媒体ライブラリーを表示する
DSPLANSTS,Display LAN Status,LAN状況を表示する
DSPLIB,Display Library,ライブラリーを表示する
DSPLIBD,Display Library Description,ライブラリー記述を表示する
DSPLIBL,Display Library List,ライブラリー・リストを表示する
DSPLICKEY,Display License Key Information,ライセンス・キー情報を表示する
DSPLIND,Display Line Description,回線記述を表示する
DSPLNK,Display Object Links,オブジェクト・リンクを表示する
DSPLOG,Display Log,ログを表示する
DSPLOGBRM,Display Log for BRMS,BRMSのログを表示する
DSPLOGJS,Display Log for Job Scheduler,ジョブ・スケジューラーのログを表示する
DSPMFSINF,Display Mounted File System Information,マウント・ファイル・システム情報を表示する
DSPMNUA,Display Menu Attributes,メニュー属性を表示する
DSPMOD,Display Module,モジュールを表示する
DSPMODD,Display Mode Description,モード記述を表示する
DSPMODSRC,Display Module Source,モジュール・ソースを表示する
DSPMODSTS,Display Mode Status,モード状況を表示する
DSPMSG,Display Messages,メッセージを表示する
DSPMSGD,Display Message Description,メッセージ記述を表示する
DSPNCK,Display Nickname,ニックネームを表示する
DSPNETA,Display Network Attributes,ネットワーク属性を表示する
DSPNODGRP,Display Node Group,ノード・グループを表示する
DSPNTBD,Display NetBIOS Description,NetBIOS記述を表示する
DSPNWID,Display Network Interface Description,ネットワーク・インターフェース記述を表示する
DSPNWSA,Display Network Server Attributes,ネットワーク・サーバー属性を表示する
DSPNWSCFG,Display Network Server Configuration,ネットワーク・サーバー構成を表示する
DSPNWSD,Display Network Server Description,ネットワーク・サーバー記述を表示する
DSPNWSSTG,Display Network Server Storage Space,ネットワーク・サーバー記憶スペースを表示する
DSPNWSUSRA,Display Network Server User Attributes,ネットワーク・サーバー・ユーザー属性を表示する
DSPOBJAUT,Display Object Authority,オブジェクト権限を表示する
DSPOBJD,Display Object Description,オブジェクト記述を表示する
DSPOPT,Display Optical,光ディスクを表示する
DSPOPTLCK,Display Optical Locks,光ディスク・ロックを表示する
DSPOPTSVR,Display Optical Server,光ディスク・サーバーを表示する
DSPOSPF,Display OSPF,OSPFを表示する
DSPOVR,Display Override,指定変更を表示する
DSPPDFMAPE,Display PDF Map Entries,PDFマップ項目を表示する
DSPPDGPRF,Display Print Descriptor Group Profile,印刷記述子グループ・プロファイルを表示する
DSPPFM,Display Physical File Member,物理ファイル・メンバーを表示する
DSPPFRDTA,Display Performance Data,パフォーマンス・データを表示する
DSPPFRGPH,Display Performance Graph,パフォーマンス・グラフを表示する
DSPPGM,Display Program,プログラムを表示する
DSPPGMADP,Display Program Adopt,プログラム導入を表示する
DSPPGMREF,Display Program References,プログラム参照を表示する
DSPPGMVAR,Display Program Variable,プログラム変数を表示する
DSPPRB,Display Problems,問題を表示する
DSPPSFCFG,Display Print Services Facility Configuration,PSF構成を表示する
DSPPTF,Display Program Temporary Fix,PTFを表示する
DSPPTFAPYI,Display PTF Apply Information,PTF適用情報を表示する
DSPPTFCVR,Display Program Temporary Fix Cover Letter,PTFカバー・レターを表示する
DSPPTFGRP,Display PTF Group,PTFグループを表示する
DSPPWRSCD,Display Power On/Off Schedule,電源オン/オフ・スケジュールを表示する
DSPRCDLCK,Display Record Locks,レコード・ロックを表示する
DSPRCYAP,Display Recovery for Access Paths,アクセス・パスの回復を表示する
DSPRDBDIRE,Display Relational Database Directory Entries,RDBディレクトリー項目を表示する
DSPRIP,Display Routing Information Protocol Information,RIP情報を表示する
DSPRMTDFN,Display Remote Definition,リモート定義を表示する
DSPRSCLOND,Display Resource List for OnDemand,OnDemandの資源リストを表示する
DSPS36,Display S/36 Configuration,S/36構成を表示する
DSPSAVF,Display Save File,保管ファイルを表示する
DSPSBSD,Display Subsystem Description,サブシステム記述を表示する
DSPSDSTL,Display SMTP Dist List,SMTP配布リストを表示する
DSPSECA,Display Security Attributes,機密保護属性を表示する
DSPSECAUD,Display Security Auditing,機密保護監査を表示する
DSPSFWRSC,Display Software Resources,ソフトウェア資源を表示する
DSPSOCSTS,Display Sphere of Control Status,制御範囲状況を表示する
DSPSPLF,Display Spooled File,スプール・ファイルを表示する
DSPSRVA,Display Service Attributes,サービス属性を表示する
DSPSRVAGT,Display Service Agent,サービス・エージェントを表示する
DSPSRVPGM,Display Service Program,サービス・プログラムを表示する
DSPSRVSTS,Display Service Status,サービス状況を表示する
DSPSSTSECA,Display SST Security Attrs,SST機密保護属性を表示する
DSPSSTUSR,Display Service Tools User ID,保守ツール・ユーザーIDを表示する
DSPSVCCPYD,Display SAN Volume Controller ASP Copy Description,SVC ASPコピー記述を表示する
DSPSVCSSN,Display SAN Volume Controller ASP Session,SVC ASPセッションを表示する
DSPSVRAUTE,Display Server Authentication Entries,サーバー権限項目を表示する
DSPSYSSTS,Display System Status,システム状況を表示する
DSPSYSVAL,Display System Value,システム値を表示する
DSPTAP,Display Tape,磁気テープを表示する
DSPTAPCGY,Display Tape Category,磁気テープ・カテゴリーを表示する
DSPTAPCTG,Display Tape Cartridge,磁気テープ・カートリッジを表示する
DSPTAPSTS,Display Tape Status,磁気テープ状況を表示する
DSPTM,Display Trademarks,商標を表示する
DSPTRC,Display Trace,トレースを表示する
DSPTRCDTA,Display Trace Data,トレース・データを表示する
DSPUDFS,Display User-Defined File System,ユーザー定義ファイル・システムを表示する
DSPUSGINF,Display Partition Usage Info,区画使用情報を表示する
DSPUSRPMN,Display User Permission,ユーザー許可を表示する
DSPUSRPRF,Display User Profile,ユーザー・プロファイルを表示する
DSPUSRPRTI,Display User Print Information,ユーザー印刷情報を表示する
DSPVTMAP,Display VT Keyboard Map,VTキーボード・マップを表示する
DSPWLCGRP,Display Workload Group,作業負荷グループを表示する
DSPWSUSR,Display Work Station User,ワークステーション・ユーザーを表示する
DUPMEDBRM,Duplicate Media using BRMS,BRMSを使用して媒体を複写する
DUPOPT,Duplicate Optical,光ディスクを複写する
DUPTAP,Duplicate Tape,磁気テープを複写する
EDTAUTL,Edit Authorization List,権限リストを編集する
EDTBCKUPL,Edit Backup List,バックアップ・リストを編集する
EDTCPCST,Edit Check Pending Constraints,検査保留制約を編集する
EDTDLFA,Edit DataLink File Attributes,DataLinkファイル属性を編集する
EDTDLOAUT,Edit Document Library Object Authority,文書ライブラリー・オブジェクト権限を編集する
EDTDOC,Edit Document,文書を編集する
EDTF,Edit File,ファイルを編集する
EDTIGCDCT,Edit DBCS Conversion Dictionary,DBCS変換ディクショナリーを編集する
EDTLIBL,Edit Library List,ライブラリー・リストを編集する
EDTOBJAUT,Edit Object Authority,オブジェクト権限を編集する
EDTQST,Edit Questions and Answers,Q/Aを編集する
EDTRBDAP,Edit Rebuild of Access Paths,アクセス・パスの再作成を編集する
EDTRCYAP,Edit Recovery for Access Paths,アクセス・パスの回復を編集する
EDTS36PGMA,Edit S/36 Program Attributes,S/36プログラム属性を編集する
EDTS36PRCA,Edit S/36 Procedure Attributes,S/36プロシージャー属性を編集する
EDTS36SRCA,Edit S/36 Source Attributes,S/36ソース属性を編集する
EDTWSOAUT,Edit Workstation Object Authority,ワークステーション・オブジェクト権限を編集する
EJTEMLOUT,Eject Emulation Output,エミュレーション出力を排出する
EMLPRTKEY,Emulate Printer Keys,印刷装置キーをエミュレートする
ENDACCWEB,End Access for Web,Webアクセスを終了する
ENDACCWEB2,End Access for Web,Webアクセスを終了する (2)
ENDAGTSRV,End Agent Services,エージェント・サービスを終了する
ENDASPBAL,End Auxiliary Storage Pool Balance,ASPバランスを終了する
ENDASPSSN,End ASP Session,ASPセッションを終了する
ENDAUTCOL,End Authority Collection,権限収集を終了する
ENDBCHJOB,End Batch Job,バッチ・ジョブを終了する
ENDCAD,End Cluster Administrative Domain,クラスター管理ドメインを終了する
ENDCBLDBG,End COBOL Debug,COBOLデバッグを終了する
ENDCHTSVR,End Clustered Hash Table Server,クラスター化ハッシュ・テーブル・サーバーを終了する
ENDCLNUP,End Cleanup,クリーンアップを終了する
ENDCLUNOD,End Cluster Node,クラスター・ノードを終了する
ENDCMNSVR,End Communications Server,通信サーバーを終了する
ENDCMNTRC,End Communications Trace,通信トレースを終了する
ENDCMTCTL,End Commitment Control,コミットメント制御を終了する
ENDCPYSCN,End Copy Screen,画面コピーを終了する
ENDCRG,End Cluster Resource Group,クラスター・リソース・グループを終了する
ENDCRGCNR,End CRG Container,CRGコンテナーを終了する
ENDCSMSSN,End CSM ASP Session,CSM ASPセッションを終了する
ENDCTLRCY,End Controller Recovery,コントローラー回復を終了する
ENDDBG,End Debug Mode,デバッグ・モードを終了する
ENDDBGSVR,End Debug Server,デバッグ・サーバーを終了する
ENDDBMON,End Database Monitor,データベース・モニターを終了する
ENDDEVRCY,End Device Recovery,装置回復を終了する
ENDDIRSHD,End Directory Shadowing,ディレクトリー・シャドーイングを終了する
ENDDPRAPY,End DataPropagator Apply,DataPropagator適用を終了する
ENDDPRCAP,End DataPropagator Capture,DataPropagatorキャプチャーを終了する
ENDDSKRGZ,End Disk Reorganization,ディスク再編成を終了する
ENDDW,End Disk Watcher,ディスク監視機能を終了する
ENDEPMENV,End EPM Environments,EPM環境を終了する
ENDFNTDWN,End Font Downloader,フォント・ダウンローダーを終了する
ENDGRPJOB,End Group Job,グループ・ジョブを終了する
ENDHOSTSVR,End Host Server,ホスト・サーバーを終了する
ENDINP,End Input,入力を終了する
ENDISDB,End Interactive Source Debugger,対話式ソース・デバッガーを終了する
ENDJOB,End Job,ジョブを終了する
ENDJOBABN,End Job Abnormal,ジョブを異常終了させる
ENDJOBTRC,End Job Trace,ジョブ・トレースを終了する
ENDJRN,End Journal,ジャーナル処理を終了する
ENDJRNAP,End Journal Access Path,ジャーナル・アクセス・パスを終了する
ENDJRNLIB,End Journal Library,ジャーナル・ライブラリーを終了する
ENDJRNOBJ,End Journal Object,ジャーナル・オブジェクトを終了する
ENDJRNPF,End Journal Physical File,ジャーナル物理ファイルを終了する
ENDJS,End Advanced Job Scheduler,AJSを終了する
ENDJW,End Job Watcher,ジョブ監視機能を終了する
ENDLINRCY,End Line Recovery,回線回復を終了する
ENDLOGSVR,End Job Log Server,ジョブ・ログ・サーバーを終了する
ENDMOD,End Mode,モードを終了する
ENDMONOND,End Monitor,モニターを終了する
ENDMSF,End Mail Server Framework,メール・サーバー・フレームワークを終了する
ENDNFSSVR,End Network File System Server,NFSサーバーを終了する
ENDPASTHR,End Pass-Through,パススルーを終了する
ENDPEX,End Performance Explorer,PEXを終了する
ENDPFRCOL,End Performance Collection,パフォーマンス収集を終了する
ENDPFRTRC,End Performance Trace,パフォーマンス・トレースを終了する
ENDPGMEXP,End Program Export List,プログラム・エクスポート・リストを終了する
ENDPGMPRF,End Program Profiling,プログラム・プロファイル作成を終了する
ENDPJ,End Prestart Jobs,事前開始ジョブを終了する
ENDPRTEML,End Printer Emulation,印刷装置エミュレーションを終了する
ENDRCV,End Receive,受信を終了する
ENDRDR,End Reader,読み取りプログラムを終了する
ENDRMTSPT,End Remote Support,リモート・サポートを終了する
ENDRPCBIND,End Remote Procedure Call Binder Daemon,RPCバインダー・デーモンを終了する
ENDRQS,End Request,要求を終了する
ENDS36,End S/36 Session,S/36セッションを終了する
ENDSAVSYNC,End Save Synchronization,保管同期を終了する
ENDSBS,End Subsystem,サブシステムを終了する
ENDSRVAGT,End Service Agent,サービス・エージェントを終了する
ENDSRVJOB,End Service Job,サービス・ジョブを終了する
ENDSVCSSN,End SAN Volume Controller ASP Session,SVC ASPセッションを終了する
ENDSYS,End System,システムを終了する
ENDTCP,End TCP/IP,TCP/IPを終了する
ENDTCPABN,End TCP/IP Abnormal,TCP/IPを異常終了させる
ENDTCPCNN,End TCP/IP Connection,TCP/IP接続を終了する
ENDTCPIFC,End TCP/IP Interface,TCP/IPインターフェースを終了する
ENDTCPSVR,End TCP/IP Server,TCP/IPサーバーを終了する
ENDTFMMGR,End Transform Manager,変換マネージャーを終了する
ENDTIESSN,End TIE Session,TIEセッションを終了する
ENDTRC,End Trace,トレースを終了する
ENDTRKJOBQ,End Tracking Job Queue,ジョブ待ち行列の追跡を終了する
ENDTRPMGR,End Trap Manager,トラップ・マネージャーを終了する
ENDVPNCNN,End VPN Connection,VPN接続を終了する
ENDWCH,End Watch,監視を終了する
ENDWTR,End Writer,書き出しプログラムを終了する
ERASE,Remove Link,リンクを除去する
EXPORT,Export a Program Symbol,プログラム記号をエクスポートする
EXPORTFS,Change Network File System Export,NFSエクスポートを変更する
EXTMEDIBRM,Extract Media Information,媒体情報を抽出する
EXTPGMINF,Extract Program Information,プログラム情報を抽出する
FILDOC,File Document,文書をファイルする
FMTDTA,Format Data,データをフォーマットする
FNDKEYOND,Find Key,キーを検索する
FNDSTRPDM,Find String using Programming Development Manager,PDMを使用してストリングを検索する
FNDSTRPDM2,Find String with List using Programming Development Manager,PDMを使用してリスト付きでストリングを検索する
FTP,Start TCP/IP File Transfer,TCP/IPファイル転送を開始する
GENCAT,Generate Message Catalog,メッセージ・カタログを生成する
GENCKMKSFE,Generate Crytographic Key Management Keystore File Entry,暗号鍵管理キーストア・ファイル項目を生成する
GENCMDDOC,Generate Command Documentation,コマンド資料を生成する
GENCSRC,Generate C/C++ Source,C/C++ソースを生成する
GENDNSDSRR,Generate Domain Name System Delgation Signer Resource Record,DNS DSリソース・レコードを生成する
GENDNSKEY,Generate Domain Name System Key,DNSキーを生成する
GENJVMDMP,Generate Java Virtual Machine Dump,JVMダンプを生成する
GENLICKEY,Generate License Key,ライセンス・キーを生成する
GO,Go to Menu,メニューへ進む
GRTACCAUT,Grant Access Code Authority,アクセス・コード権限を与える
GRTDPRAUT,Grant DataPropagator Authority,DataPropagator権限を与える
GRTOBJAUT,Grant Object Authority,オブジェクト権限を与える
GRTUSRAUT,Grant User Authority,ユーザー権限を与える
GRTUSRPMN,Grant User Permission,ユーザー許可を与える
GRTWSOAUT,Grant Workstation Object Authority,ワークステーション・オブジェクト権限を与える
HLDCMNDEV,Hold Communications Device,通信装置を保留する
HLDDSTQ,Hold Distribution Queue,配布待ち行列を保留する
HLDJOB,Hold Job,ジョブを保留する
HLDJOBJS,Hold Job using Advanced Job Scheduler,AJSを使用してジョブを保留する
HLDJOBQ,Hold Job Queue,ジョブ待ち行列を保留する
HLDJOBSCDE,Hold Job Schedule Entry,ジョブ・スケジュール項目を保留する
HLDOUTQ,Hold Output Queue,出力待ち行列を保留する
HLDPTF,Hold Program Temporary Fix,PTFを保留する
HLDRDR,Hold Reader,読み取りプログラムを保留する
HLDSPLF,Hold Spooled File,スプール・ファイルを保留する
HLDWTR,Hold Writer,書き出しプログラムを保留する
HOST,Start HOST Query,HOST照会を開始する
INSPTF,Install Program Temporary Fix,PTFを導入する
INZBRM,Initialize BRMS,BRMSを初期設定する
INZDLFM,Initialize DataLink File Manager,DataLinkファイル・マネージャーを初期設定する
INZDPRCAP,Initialize DataPropagator Capture,DataPropagatorキャプチャーを初期設定する
INZDSTQ,Initialize Distribution Queue,配布待ち行列を初期設定する
INZMEDBRM,Initialize Media using BRMS,BRMSを使用して媒体を初期設定する
INZNWSCFG,Initialize Network Server Configuration,ネットワーク・サーバー構成を初期設定する
INZOPT,Initialize Optical,光ディスクを初期設定する
INZPCS,Initialize IBM i Access,IBM i Accessを初期設定する
INZPFM,Initialize Physical File Member,物理ファイル・メンバーを初期設定する
INZSYS,Initialize System,システムを初期設定する
INZTAP,Initialize Tape,磁気テープを初期設定する
JAVA,Run Java Program,Javaプログラムを実行する
LDIF2DB,Copy From LDIF File,LDIFファイルからコピーする
LNKDTADFN,Link/Unlink Data Definition,データ定義をリンク/アンリンクする
LODIMGCLG,Load or Unload Image Catalog,イメージ・カタログをロード/アンロードする
LODIMGCLGE,Load/Unload/Mount Image Catalog Entry,イメージ・カタログ項目をロード/アンロード/マウントする
LODIPFTR,Load/Unload IP Filter,IPフィルターをロード/アンロードする
LODOPTFMW,Load Optical Firmware,光ディスク・ファームウェアをロードする
LODPTF,Load Program Temporary Fix,PTFをロードする
LODQSTDB,Load Question/Answer Database,Q/Aデータベースをロードする
LODRUN,Load and Run,ロードして実行する
LPR,Send TCP/IP Spooled File,TCP/IPスプール・ファイルを送信する
MD,Create Directory,ディレクトリーを作成する
MGRBRM,Migrate using BRMS,BRMSを使用してマイグレーションを行う
MKDIR,Create Directory,ディレクトリーを作成する
MONSWABRM,Monitor Save While Active,活動時保管をモニターする
MOUNT,Add Mounted File System,マウント・ファイル・システムを追加する
MOV,Move Object,オブジェクトを移動する
MOVDOC,Move Document,文書を移動する
MOVE,Move Object,オブジェクトを移動する
MOVMEDBRM,Move Media using BRMS,BRMSを使用して媒体を移動する
MOVOBJ,Move Object,オブジェクトを移動する
MOVPFRCOL,Move Performance Collection,パフォーマンス収集を移動する
MOVSPLFBRM,Move Spooled Files using BRMS,BRMSを使用してスプール・ファイルを移動する
MRGMSGCLG,Merge Message Catalog,メッセージ・カタログをマージする
MRGMSGF,Merge Message File,メッセージ・ファイルをマージする
MRGSPLFOND,Merge Spooled Files,スプール・ファイルをマージする
MRGTCPHT,Merge TCP/IP Host Table,TCP/IPホスト・テーブルをマージする
NDPING,Send Neighbor Solicitation,近隣要請を送信する
NETSTAT,Work with TCP/IP Network Status,TCP/IPネットワーク状況を処理する
NSLOOKUP,Start NSLOOKUP Query,NSLOOKUP照会を開始する
NSUPDATE,Run Domain Name System Update,DNS更新を実行する
OPNDBF,Open Data Base File,データベース・ファイルを開く
OPNQRYF,Open Query File,Queryファイルを開く
OVRDBF,Override with Data Base File,データベース・ファイルで指定変更する
OVRDSPF,Override with Display File,表示ファイルで指定変更する
OVRICFDEVE,Override Intersystem Communications Function Program Device Entry,ICFプログラム装置項目を指定変更する
OVRICFF,Override Intersystem Communications Function File,ICFファイルを指定変更する
OVRMSGF,Override Message File,メッセージ・ファイルを指定変更する
OVRPRTF,Override with Printer File,印刷装置ファイルで指定変更する
OVRSAVF,Override with Save File,保管ファイルで指定変更する
OVRTAPF,Override with Tape File,磁気テープ・ファイルで指定変更する
PING,Verify TCP/IP Connection,TCP/IP接続を検査する
PKGPRDOPT,Package Product Option,プロダクト・オプションをパッケージ化する
POSDBF,Position Data Base File,データベース・ファイルを位置付ける
PRTACTRPT,Print Activity Report,活動報告書を印刷する
PRTADPOBJ,Print Adopting Objects,採用オブジェクトを印刷する
PRTAFPDTA,Print Advanced Function Printer Data,AFPデータを印刷する
PRTCADMRE,Print Cluster Administrative Domain Managed Resource Entry,クラスター管理ドメイン管理リソース項目を印刷する
PRTCMDUSG,Print Command Usage,コマンド使用法を印刷する
PRTCMNSEC,Print Communications Security,通信機密保護を印刷する
PRTCMNTRC,Print Communications Trace,通信トレースを印刷する
PRTCPTRPT,Print Component Report,コンポーネント報告書を印刷する
PRTDEVADR,Print Device Addresses,装置アドレスを印刷する
PRTDIRINF,Print Directory Information,ディレクトリー情報を印刷する
PRTDOC,Print Document,文書を印刷する
PRTDOCOND,Print Document,文書を印刷する
PRTDSKINF,Print Disk Information,ディスク情報を印刷する
PRTERRLOG,Print Error Log,エラー・ログを印刷する
PRTINTDTA,Print Internal Data,内部データを印刷する
PRTJOBDAUT,Print Job Description Authority,ジョブ記述権限を印刷する
PRTJOBRPT,Print Job Interval Report,ジョブ間隔報告書を印刷する
PRTJOBTRC,Print Job Trace,ジョブ・トレースを印刷する
PRTJVMJOB,Print Java Virtual Machine Job,JVMジョブを印刷する
PRTLBLBRM,Print Labels using BRMS,BRMSを使用してラベルを印刷する
PRTLCKRPT,Print Lock Report,ロック報告書を印刷する
PRTMEDBRM,Print Media Exceptions for BRMS,BRMSの媒体例外を印刷する
PRTMOVBRM,Print Media Movement,媒体移動を印刷する
PRTPEXRPT,Print Performance Explorer Report,PEX報告書を印刷する
PRTPFDDTA,Print PFD Data,PFDデータを印刷する
PRTPOLRPT,Print Pool Report,プール報告書を印刷する
PRTPRFINT,Print Profile Internals,プロファイル内部を印刷する
PRTPUBAUT,Print Publicly Authorized Objects,パブリック権限オブジェクトを印刷する
PRTPVTAUT,Print Private Authorities,プライベート権限を印刷する
PRTQAUT,Print Queue Authority,待ち行列権限を印刷する
PRTRPTBRM,Print Report for BRMS,BRMSの報告書を印刷する
PRTRPTOND,Print Report,レポートを印刷する
PRTRSCRPT,Print Resource Report,資源報告書を印刷する
PRTSBSDAUT,Print Subsystem Description,サブシステム記述を印刷する
PRTSCDJS,Print Schedule using Advanced Job Scheduler,AJSを使用してスケジュールを印刷する
PRTSQLINF,Print SQL Information,SQL情報を印刷する
PRTSWL,Print Stop Word List,ストップワード・リストを印刷する
PRTSYSINF,Print System Information,システム情報を印刷する
PRTSYSRPT,Print System Report,システム報告書を印刷する
PRTSYSSECA,Print System Security Attributes,システム機密保護属性を印刷する
PRTTNSRPT,Print Transaction Report,トランザクション報告書を印刷する
PRTTRC,Print Trace Data,トレース・データを印刷する
PRTTRCRPT,Print Job Trace Report,ジョブ・トレース報告書を印刷する
PRTTRGPGM,Print Trigger Programs,トリガー・プログラムを印刷する
PRTTXTOND,Print Text,テキストを印刷する
PRTUSROBJ,Print User Objects,ユーザー・オブジェクトを印刷する
PRTUSRPRF,Print User Profile,ユーザー・プロファイルを印刷する
PWRDWNSYS,Power Down System,システムの電源を遮断する
QRYDOCLIB,Query Document Library,文書ライブラリーを照会する
QRYDOCOND,Query Document,文書を照会する
QRYDST,Query Distributions,配布を照会する
QRYPRBSTS,Query Problem Status,問題状況を照会する
QRYTIEF,Query TIE Files,TIEファイルを照会する
QSH,Start QSH,QSHを開始する
RCLACTGRP,Reclaim Activation Group,活動化グループを再利用する
RCLAPPN,Reclaim APPN,APPNを再利用する
RCLDBXREF,Reclaim Database Cross-Reference,データベース相互参照を再利用する
RCLDDMCNV,Reclaim Distributed Data Management Conversations,DDM会話を再利用する
RCLDLO,Reclaim Document Library Object,文書ライブラリー・オブジェクトを再利用する
RCLLIB,Reclaim Library,ライブラリーを再利用する
RCLLNK,Reclaim Object Links,オブジェクト・リンクを再利用する
RCLOBJOWN,Reclaim Objects by Owner,所有者別にオブジェクトを再利用する
RCLOPT,Reclaim Optical,光ディスクを再利用する
RCLRSC,Reclaim Resources,資源を再利用する
RCLSPLSTG,Reclaim Spool Storage,スプール記憶域を再利用する
RCLSTG,Reclaim Storage,記憶域を再利用する
